
  Projekt  ;    Zespol    ;    Pozycja ;  Ilosc  ; Profil;  Material ;Dl_1szt_(mm)       ;Ciezar_1szt_(kg)   ;Calk_ciezar_(kg)      ;Uwaga
 PT629      ; 629A1-0(?)           ;; 3      ; ;;;;;
 PT629      ; 629A1-1              ;; 12     ; ;;;;;
 PT629      ; 629A1-2              ;; 12     ; ;;;;;
 PT629      ; 629A1-3              ;; 14     ; ;;;;;
 PT629      ; 629A1-4              ;; 2      ; ;;;;;
 PT629      ; 629A1-5              ;; 48     ; ;;;;;
 PT629      ; 629A1-6              ;; 2      ; ;;;;;
 PT629      ; 629A1-7              ;; 2      ; ;;;;;
 PT629      ; 629A1-8              ;; 64     ; ;;;;;
 PT629      ; 629A1-9              ;; 96     ; ;;;;;
 PT629      ; 629A1-10             ;; 64     ; ;;;;;
 PT629      ; 629A1-11             ;; 64     ; ;;;;;
 PT629      ; 629A1-12             ;; 112    ; ;;;;;
 PT629      ; 629A1-13             ;; 2      ; ;;;;;
 PT629      ; 629A1-14             ;; 2      ; ;;;;;
 PT629      ; 629A1-15             ;; 4      ; ;;;;;
 PT629      ; 629A1-16             ;; 4      ; ;;;;;
 PT629      ; 629A1-17             ;; 2      ; ;;;;;
 PT629      ; 629A1-18             ;; 2      ; ;;;;;
 PT629      ; 629A1-19             ;; 4      ; ;;;;;
 PT629      ; 629A1-20             ;; 4      ; ;;;;;
 PT629      ; 629A1-21             ;; 4      ; ;;;;;
 PT629      ; 629A1-22             ;; 4      ; ;;;;;
 PT629      ; 629A1-23             ;; 4      ; ;;;;;
 PT629      ; 629A1-24             ;; 4      ; ;;;;;
 PT629      ; 629A1-25             ;; 8      ; ;;;;;
 PT629      ; 629A1-26             ;; 4      ; ;;;;;
 PT629      ; 629A1-27             ;; 4      ; ;;;;;
 PT629      ; 629A2-1              ;; 4      ; ;;;;;
 PT629      ; 629A2-2              ;; 4      ; ;;;;;
 PT629      ; 629A2-3              ;; 4      ; ;;;;;
 PT629      ; 629A2-4              ;; 4      ; ;;;;;
 PT629      ; 629A2-5              ;; 4      ; ;;;;;
 PT629      ; 629A2-6              ;; 2      ; ;;;;;
 PT629      ; 629A2-7              ;; 2      ; ;;;;;
 PT629      ; 629A2-8              ;; 2      ; ;;;;;
 PT629      ; 629A2-9              ;; 2      ; ;;;;;
 PT629      ; 629A2-10             ;; 2      ; ;;;;;
 PT629      ; 629A2-11             ;; 2      ; ;;;;;
 PT629      ; 629A2-12             ;; 2      ; ;;;;;
 PT629      ; 629A2-15             ;; 4      ; ;;;;;
 PT629      ; 629A2-16             ;; 2      ; ;;;;;
 PT629      ; 629A2-17             ;; 2      ; ;;;;;
 PT629      ; 629A2-18             ;; 2      ; ;;;;;
 PT629      ; 629A2-19             ;; 2      ; ;;;;;
 PT629      ; 629A2-20             ;; 2      ; ;;;;;
 PT629      ; 629A2-21             ;; 8      ; ;;;;;
 PT629      ; 629A2-22             ;; 8      ; ;;;;;
 PT629      ; 629A2-23             ;; 32     ; ;;;;;
 PT629      ; 629A2-24             ;; 2      ; ;;;;;
 PT629      ; 629A2-25             ;; 16     ; ;;;;;
 PT629      ; 629A2-26             ;; 2      ; ;;;;;
 PT629      ; 629A2-27             ;; 4      ; ;;;;;
 PT629      ; 629A2-28             ;; 4      ; ;;;;;
 PT629      ; 629A2-29             ;; 4      ; ;;;;;
 PT629      ; 629A2-30             ;; 2      ; ;;;;;
 PT629      ; 629A3-1              ;; 4      ; ;;;;;
 PT629      ; 629A3-2              ;; 24     ; ;;;;;
 PT629      ; 629A3-3              ;; 4      ; ;;;;;
 PT629      ; 629A3-4              ;; 4      ; ;;;;;
 PT629      ; 629A3-5              ;; 4      ; ;;;;;
 PT629      ; 629A3-6              ;; 4      ; ;;;;;
 PT629      ; 629A3-7              ;; 2      ; ;;;;;
 PT629      ; 629A3-8              ;; 2      ; ;;;;;
 PT629      ; 629A3-9              ;; 8      ; ;;;;;
 PT629      ; 629A3-10             ;; 8      ; ;;;;;
 PT629      ; 629A3-11             ;; 16     ; ;;;;;
 PT629      ; 629A3-12             ;; 4      ; ;;;;;
 PT629      ; 629A3-13             ;; 8      ; ;;;;;
 PT629      ; 629A3-14             ;; 4      ; ;;;;;
 PT629      ; A-0(?)               ;; 341    ; ;;;;;
 PT629      ; A-4(?)               ;; 52     ; ;;;;;
 PT629      ; B-0(?)               ;; 924    ; ;;;;;
 PT629      ; EZA-0(?)             ;; 144    ; ;;;;;
 PT629      ; L-0(?)               ;; 1      ; ;;;;;
 PT629      ;629A1-1             ;629P1-42  ;12    ;  M30-PRET_GWINTOWANY             ;    A4-80                                              ;      140 ;       0.7 ;        8.9 ; 
 PT629      ;629A1-2             ;629P1-43  ;12    ;  WASHER_M30                      ;    A4-80                                              ;        4 ;       0.1 ;        0.6 ; 
 PT629      ;629A1-3             ;629P1-44  ;14    ;  NUT_M30                         ;    A4-80                                              ;       24 ;       0.3 ;        4.6 ; 
 PT629      ;629A1-4             ;629P1-39  ;2     ;  PL20*320                        ;    S355J2+N 3.2                                       ;      420 ;      21.1 ;       42.2 ; 
 PT629      ;629A1-4             ;629P1-40  ;2     ;  PL20*150                        ;    S355J2+N 3.2                                       ;      380 ;       6.6 ;       13.2 ; 
 PT629      ;629A1-4             ;629P1-41  ;4     ;  PL10*50                         ;    S355J2+N 3.2                                       ;      300 ;       1.2 ;        4.7 ; 
 PT629      ;629A1-5             ;629P1-45  ;48    ;  BOLT_M30                        ;    A4                                                 ;        0 ;       0.0 ;        0.0 ; 
 PT629      ;629A1-6             ;629P1-3   ;2     ;  L60*6                           ;    S235JR                                             ;      334 ;       1.8 ;        3.6 ; 
 PT629      ;629A1-6             ;629P1-46  ;2     ;  L60*6                           ;    S235JR                                             ;      479 ;       2.6 ;        5.2 ; 
 PT629      ;629A1-6             ;629P1-47  ;2     ;  L60*6                           ;    S235JR                                             ;      340 ;       1.8 ;        3.7 ; 
 PT629      ;629A1-6             ;629P1-48  ;2     ;  L60*6                           ;    S235JR                                             ;     2320 ;      12.6 ;       25.2 ; 
 PT629      ;629A1-6             ;629P1-49  ;2     ;  L60*6                           ;    S235JR                                             ;       85 ;       0.5 ;        0.9 ; 
 PT629      ;629A1-7             ;629P1-1   ;2     ;  L60*6                           ;    S235JR                                             ;      479 ;       2.6 ;        5.2 ; 
 PT629      ;629A1-7             ;629P1-2   ;2     ;  L60*6                           ;    S235JR                                             ;      340 ;       1.8 ;        3.7 ; 
 PT629      ;629A1-7             ;629P1-3   ;2     ;  L60*6                           ;    S235JR                                             ;      334 ;       1.8 ;        3.6 ; 
 PT629      ;629A1-7             ;629P1-4   ;2     ;  L60*6                           ;    S235JR                                             ;     2320 ;      12.6 ;       25.2 ; 
 PT629      ;629A1-7             ;629P1-5   ;2     ;  L60*6                           ;    S235JR                                             ;       85 ;       0.5 ;        0.9 ; 
 PT629      ;629A1-8             ;629P1-35  ;64    ;  ANCHOR_M16                      ;    A4-80                                              ;      190 ;       0.3 ;       18.3 ; 
 PT629      ;629A1-9             ;629P1-34  ;96    ;  PD22*3                          ;    POLYAMIDE                                          ;       18 ;       0.0 ;        0.0 ; 
 PT629      ;629A1-10            ;629P1-37  ;64    ;  WASHER_M16                      ;    A4-80                                              ;        3 ;       0.0 ;        0.7 ; 
