
 Projekt;Zespol ;Pozycja;Ilosc  ;Profil  ;Material;Dl_1szt_(mm)    ;Ciezar_1szt_(kg)  ;Calk_ciezar_(kg)   ;Uwaga
 PT620_S***  ;101A3-1               ;;  1      ; ;  ; ; ; ;
 PT620_S*** ;101A3-1               ;101P3-239  ;1      ;FL10*225                         ;S355J2                                   ;      121  ;       2.1  ;       2.1 ;
 PT620_S***  ;101A3-2               ;;  1      ; ;  ; ; ; ;
 PT620_S*** ;101A3-2               ;101P3-1    ;1      ;SHS100*6                         ;S355J2                                   ;     1957  ;      34.1  ;      34.1 ;
 PT620_S*** ;101A3-2               ;101P3-2    ;2      ;SHS180*10                        ;S355J2                                   ;     8021  ;     421.2  ;     842.4 ;
 PT620_S*** ;101A3-2               ;101P3-3    ;1      ;SHS120*8                         ;S355J2                                   ;     2796  ;      77.3  ;      77.3 ;
 PT620_S*** ;101A3-2               ;101P3-4    ;1      ;SHS100*6                         ;S355J2                                   ;     2196  ;      38.3  ;      38.3 ;
 PT620_S*** ;101A3-2               ;101P3-5    ;1      ;SHS120*8                         ;S355J2                                   ;     3095  ;      85.5  ;      85.5 ;
 PT620_S*** ;101A3-2               ;101P3-6    ;1      ;SHS120*8                         ;S355J2                                   ;     3868  ;     106.9  ;     106.9 ;
 PT620_S*** ;101A3-2               ;101P3-244  ;2      ;BL15*200                         ;S355J2                                   ;      420  ;       9.9  ;      19.8 ;
 PT620_S*** ;101A3-2               ;101P3-323  ;2      ;BL15*228                         ;S355J2                                   ;      346  ;       9.3  ;      18.6 ;
 PT620_S*** ;101A3-2               ;101P3-324  ;1      ;SHS180*10                        ;S355J2                                   ;      468  ;      24.6  ;      24.6 ;
 PT620_S*** ;101A3-2               ;101P3-325  ;1      ;SHS180*10                        ;S355J2                                   ;      462  ;      24.3  ;      24.3 ;
 PT620_S*** ;101A3-2               ;101P3-355  ;8      ;BL16*95                          ;S355J2                                   ;      200  ;       1.5  ;      12.3 ;
 PT620_S*** ;101A3-2               ;101P3-356  ;2      ;BL25*500                         ;S355J2                                   ;      500  ;      49.1  ;      98.1 ;
 PT620_S*** ;101A3-2               ;101P3-359  ;4      ;BL16*95                          ;S355J2                                   ;      200  ;       1.5  ;       6.1 ;
 PT620_S*** ;101A3-2               ;101P3-360  ;4      ;BL16*105                         ;S355J2                                   ;      200  ;       1.5  ;       6.2 ;
